Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Placa.PrjPcb|ReportField=ProjectFullPath~\\Mac\Home\Documents\GitHub\ufrgs-instrumentacao-lab6\Resources\Altium\Placa.PrjPcb|ReportField=Title~Bill of Materials For Project [Placa.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~43|ReportField=ReportTime~3:49:54 AM|ReportField=ReportDate~5/20/16|ReportField=ReportDateTime~5/20/16 3:49:54 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Placa.PrjPcb|ReportField=DataSourceFullPath~\\Mac\Home\Documents\GitHub\ufrgs-instrumentacao-lab6\Resources\Altium\Placa.PrjPcb
Res Tap|Tapped Resistor|BA, BB, BC, BD, GA, GB, GC, GD|TSR3006|Res Tap|8
Cap2|Capacitor|C1, C2|CAPR5-4X5|Cap2|2
Cap|Capacitor|FCA, FCB, FCC, FCD|RAD-0.3|Cap|4
691244510003|WR-TBL Horizontal Cable Entry With Rising Cage Clamp,Serie 2445 - 5.08 mm|J1|691244510003|691244510003|1
691244510005|WR-TBL Horizontal Cable Entry With Rising Cage Clamp,Serie 2445 - 5.08 mm|J6|691244510005|691244510005|1
691244510004|WR-TBL Horizontal Cable Entry With Rising Cage Clamp,Serie 2445 - 5.08 mm|JA, JB, JC, JD|691244510004|691244510004|4
Res2|Resistor|R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12|AXIAL-0.4|Res2|12
L7805CP|Positive Voltage Regulator|REG1|ISOWATT220AB|L7805CP|1
L7905CP|Negative Voltage Regulator|REG2|ISOWATT220AB|L7905CP|1
INA126PA|Precision, Low-Power Instrumentation Amplifiers|U1, U3, U5, U7|006E|INA126PA|4
MAX7410EPA|5th-Order, Lowpass, Switched-Capacitor Filter|U2, U4, U6, U8|PA8|MAX7410EPA|4
TL084N|JFET-Input Operational Amplifier|U9|N014|TL084N|1
